,s.game,,,,,,,,playing,Views,followers,,,,,,,,
31239872720,,3840,1080,60.010345,0,2018-11-14T19:01:04Z,Sardoche,sardoche,IRL,26794990,262216,SARDOCHE - PrÌ© stream de MILLE HEURES,fr,fr,,2013-10-28T17:02:47Z,2018-11-14T21:32:10Z,TRUE,TRUE
31241145344,Just Chatting,219,720,60,0,2018-11-14T20:50:14Z,JOEYKAOTYK,joeykaotyk,Travel & Outdoors,957989,23295,Portland day 3 Solo - new !Youtube !social !discord,en,en,,2014-11-27T05:08:39Z,2018-11-14T22:06:12Z,FALSE,TRUE
31239159888,Art,194,720,60,0,2018-11-14T18:00:41Z,girlstreamers_inc,girlstreamers_inc,PLAYERUNKNOWN'S BATTLEGROUNDS,292921,11449,GirlStreamers | ArielRages | What's A Wednesday Without Some Chicken Dinner?,en,en,,2016-03-18T22:19:00Z,2018-11-14T22:19:02Z,TRUE,FALSE
31241624144,,135,1080,30,0,2018-11-14T21:33:02Z,FAUXRE,fauxre,IRL,410432,29117,‰ªÁ [LIVE] [ENG] Drawing Requests (MASTER PIECES!!!!!)~ ‰ªÁ,en,en,,2016-06-24T23:24:41Z,2018-11-14T21:41:33Z,FALSE,TRUE
31241624144,,135,1080,30,0,2018-11-14T21:33:02Z,FAUXRE,fauxre,IRL,410432,29117,‰ªÁ [LIVE] [ENG] Drawing Requests (MASTER PIECES!!!!!)~ ‰ªÁ,en,en,,2016-06-24T23:24:41Z,2018-11-14T21:41:33Z,FALSE,TRUE
31241624144,,127,1080,30,0,2018-11-14T21:33:02Z,FAUXRE,fauxre,IRL,410432,29117,‰ªÁ [LIVE] [ENG] Drawing Requests (MASTER PIECES!!!!!)~ ‰ªÁ,en,en,,2016-06-24T23:24:41Z,2018-11-14T21:41:33Z,FALSE,TRUE
31241624144,,127,1080,30,0,2018-11-14T21:33:02Z,FAUXRE,fauxre,IRL,410432,29117,‰ªÁ [LIVE] [ENG] Drawing Requests (MASTER PIECES!!!!!)~ ‰ªÁ,en,en,,2016-06-24T23:24:41Z,2018-11-14T21:41:33Z,FALSE,TRUE
31241578784,,116,720,31,0,2018-11-14T21:29:06Z,thelgc,thelgc,IRL,37,2,building!,en,en,,2017-01-20T13:00:40Z,2018-11-14T22:04:05Z,FALSE,FALSE
31241578784,,116,720,31,0,2018-11-14T21:29:06Z,thelgc,thelgc,IRL,37,2,building!,en,en,,2017-01-20T13:00:40Z,2018-11-14T22:04:05Z,FALSE,FALSE
31241578784,,99,720,31,0,2018-11-14T21:29:06Z,thelgc,thelgc,IRL,37,2,building!,en,en,,2017-01-20T13:00:40Z,2018-11-14T22:04:05Z,FALSE,FALSE
